Eseguito con cores=182, threads=1, width=13490.73, height=13490.73, time=1.324988
Eseguito con cores=183, threads=1, width=13527.74, height=13527.74, time=1.333985
Eseguito con cores=184, threads=1, width=13564.65, height=13564.65, time=1.333637
Eseguito con cores=185, threads=1, width=13601.47, height=13601.47, time=1.349995
Eseguito con cores=186, threads=1, width=13638.18, height=13638.18, time=1.335600
Eseguito con cores=187, threads=1, width=13674.79, height=13674.79, time=1.337409
Eseguito con cores=188, threads=1, width=13711.30, height=13711.30, time=1.375540
Eseguito con cores=189, threads=1, width=13747.72, height=13747.72, time=1.456938
Eseguito con cores=190, threads=1, width=13784.04, height=13784.04, time=1.332103
Eseguito con cores=191, threads=1, width=13820.27, height=13820.27, time=1.313275
Eseguito con cores=192, threads=1, width=13856.40, height=13856.40, time=1.324550
Eseguito con cores=193, threads=1, width=13892.44, height=13892.44, time=1.327152
Eseguito con cores=194, threads=1, width=13928.38, height=13928.38, time=1.331399
Eseguito con cores=195, threads=1, width=13964.24, height=13964.24, time=1.335158
Eseguito con cores=196, threads=1, width=14000.00, height=14000.00, time=1.322121
Eseguito con cores=197, threads=1, width=14035.66, height=14035.66, time=1.349692
Eseguito con cores=198, threads=1, width=14071.24, height=14071.24, time=1.361701
Eseguito con cores=199, threads=1, width=14106.73, height=14106.73, time=1.345094
Eseguito con cores=200, threads=1, width=14142.13, height=14142.13, time=1.375344
Eseguito con cores=201, threads=1, width=14177.44, height=14177.44, time=1.555546
Eseguito con cores=202, threads=1, width=14212.67, height=14212.67, time=1.355143
Eseguito con cores=203, threads=1, width=14247.80, height=14247.80, time=1.545418
Eseguito con cores=204, threads=1, width=14282.85, height=14282.85, time=1.331824
Eseguito con cores=205, threads=1, width=14317.82, height=14317.82, time=1.357260
Eseguito con cores=206, threads=1, width=14352.70, height=14352.70, time=1.363595
Eseguito con cores=207, threads=1, width=14387.49, height=14387.49, time=1.380043
Eseguito con cores=208, threads=1, width=14422.20, height=14422.20, time=1.350150
Eseguito con cores=209, threads=1, width=14456.83, height=14456.83, time=1.344726
Eseguito con cores=210, threads=1, width=14491.37, height=14491.37, time=1.372850
Eseguito con cores=211, threads=1, width=14525.83, height=14525.83, time=1.396426
Eseguito con cores=212, threads=1, width=14560.21, height=14560.21, time=1.344242
Eseguito con cores=213, threads=1, width=14594.51, height=14594.51, time=3.445825
Eseguito con cores=214, threads=1, width=14628.73, height=14628.73, time=1.544370
Eseguito con cores=215, threads=1, width=14662.87, height=14662.87, time=5.295430
Eseguito con cores=216, threads=1, width=14696.93, height=14696.93, time=1.363264
Eseguito con cores=217, threads=1, width=14730.91, height=14730.91, time=1.376969
Eseguito con cores=218, threads=1, width=14764.82, height=14764.82, time=1.383299
Eseguito con cores=219, threads=1, width=14798.64, height=14798.64, time=1.405106
Eseguito con cores=220, threads=1, width=14832.39, height=14832.39, time=1.336826
Eseguito con cores=221, threads=1, width=14866.06, height=14866.06, time=1.363063
Eseguito con cores=222, threads=1, width=14899.66, height=14899.66, time=1.389769
Eseguito con cores=223, threads=1, width=14933.18, height=14933.18, time=1.402827
Eseguito con cores=224, threads=1, width=14966.62, height=14966.62, time=1.366415
Eseguito con cores=225, threads=1, width=15000.00, height=15000.00, time=1.376031
Eseguito con cores=226, threads=1, width=15033.29, height=15033.29, time=1.705995
Eseguito con cores=227, threads=1, width=15066.51, height=15066.51, time=1.348685
Eseguito con cores=228, threads=1, width=15099.66, height=15099.66, time=1.757710
Eseguito con cores=229, threads=1, width=15132.74, height=15132.74, time=1.351819
Eseguito con cores=230, threads=1, width=15165.75, height=15165.75, time=1.372554
Eseguito con cores=231, threads=1, width=15198.68, height=15198.68, time=1.371898
Eseguito con cores=232, threads=1, width=15231.54, height=15231.54, time=1.405463
Eseguito con cores=233, threads=1, width=15264.33, height=15264.33, time=1.361144
Eseguito con cores=234, threads=1, width=15297.05, height=15297.05, time=1.402458
Eseguito con cores=235, threads=1, width=15329.70, height=15329.70, time=1.406110
Eseguito con cores=236, threads=1, width=15362.29, height=15362.29, time=1.378077
Eseguito con cores=237, threads=1, width=15394.80, height=15394.80, time=1.418476
Eseguito con cores=238, threads=1, width=15427.24, height=15427.24, time=1.492335
Eseguito con cores=239, threads=1, width=15459.62, height=15459.62, time=1.646639
Eseguito con cores=240, threads=1, width=15491.93, height=15491.93, time=1.860607
Eseguito con cores=241, threads=1, width=15524.17, height=15524.17, time=1.347592
