mandelbrot.c: In function ‘main’:
mandelbrot.c:31:9: error: ‘width’ undeclared (first use in this function)
   31 |         width = atoi(argv[1]);
      |         ^~~~~
mandelbrot.c:31:9: note: each undeclared identifier is reported only once for each function it appears in
mandelbrot.c:32:9: error: ‘height’ undeclared (first use in this function)
   32 |         height = atoi(argv[2]);
      |         ^~~~~~
mandelbrot.c:33:9: error: ‘x_left’ undeclared (first use in this function)
   33 |         x_left = atof(argv[3]);
      |         ^~~~~~
mandelbrot.c:34:9: error: ‘y_lower’ undeclared (first use in this function)
   34 |         y_lower = atof(argv[4]);
      |         ^~~~~~~
mandelbrot.c:35:9: error: ‘x_right’ undeclared (first use in this function)
   35 |         x_right = atof(argv[5]);
      |         ^~~~~~~
mandelbrot.c:36:9: error: ‘y_upper’ undeclared (first use in this function)
   36 |         y_upper = atof(argv[6]);
      |         ^~~~~~~
mandelbrot.c:37:9: error: ‘max_iterations’ undeclared (first use in this function)
   37 |         max_iterations = atoi(argv[7]);
      |         ^~~~~~~~~~~~~~
mandelbrot.c:38:9: error: ‘num_threads’ undeclared (first use in this function)
   38 |         num_threads = atoi(argv[8]);
      |         ^~~~~~~~~~~
Eseguito con cores=118, threads=1, width=10000, height=10000, time=1.103807
Eseguito con cores=119, threads=1, width=10000, height=10000, time=1.092076
Eseguito con cores=120, threads=1, width=10000, height=10000, time=1.077713
Eseguito con cores=121, threads=1, width=10000, height=10000, time=1.090758
Eseguito con cores=122, threads=1, width=10000, height=10000, time=1.073800
Eseguito con cores=123, threads=1, width=10000, height=10000, time=1.064620
Eseguito con cores=124, threads=1, width=10000, height=10000, time=1.066172
Eseguito con cores=125, threads=1, width=10000, height=10000, time=1.058371
Eseguito con cores=126, threads=1, width=10000, height=10000, time=1.047172
Eseguito con cores=127, threads=1, width=10000, height=10000, time=1.049942
Eseguito con cores=128, threads=1, width=10000, height=10000, time=1.041011
Eseguito con cores=129, threads=1, width=10000, height=10000, time=1.052530
Eseguito con cores=130, threads=1, width=10000, height=10000, time=1.036748
Eseguito con cores=131, threads=1, width=10000, height=10000, time=1.029051
Eseguito con cores=132, threads=1, width=10000, height=10000, time=1.040096
Eseguito con cores=133, threads=1, width=10000, height=10000, time=0.996741
Eseguito con cores=134, threads=1, width=10000, height=10000, time=0.999071
Eseguito con cores=135, threads=1, width=10000, height=10000, time=0.980124
Eseguito con cores=136, threads=1, width=10000, height=10000, time=0.989935
Eseguito con cores=137, threads=1, width=10000, height=10000, time=1.002884
Eseguito con cores=138, threads=1, width=10000, height=10000, time=0.965790
Eseguito con cores=139, threads=1, width=10000, height=10000, time=0.968728
Eseguito con cores=140, threads=1, width=10000, height=10000, time=0.955426
Eseguito con cores=141, threads=1, width=10000, height=10000, time=0.956531
Eseguito con cores=142, threads=1, width=10000, height=10000, time=0.939721
Eseguito con cores=143, threads=1, width=10000, height=10000, time=0.942921
Eseguito con cores=144, threads=1, width=10000, height=10000, time=0.928443
Eseguito con cores=145, threads=1, width=10000, height=10000, time=0.917902
Eseguito con cores=146, threads=1, width=10000, height=10000, time=0.909344
Eseguito con cores=147, threads=1, width=10000, height=10000, time=0.939912
Eseguito con cores=148, threads=1, width=10000, height=10000, time=0.910416
Eseguito con cores=149, threads=1, width=10000, height=10000, time=0.893612
Eseguito con cores=150, threads=1, width=10000, height=10000, time=0.892826
Eseguito con cores=151, threads=1, width=10000, height=10000, time=0.885898
Eseguito con cores=152, threads=1, width=10000, height=10000, time=0.895218
Eseguito con cores=153, threads=1, width=10000, height=10000, time=0.892877
Eseguito con cores=154, threads=1, width=10000, height=10000, time=0.892821
Eseguito con cores=155, threads=1, width=10000, height=10000, time=0.878919
Eseguito con cores=156, threads=1, width=10000, height=10000, time=0.864378
Eseguito con cores=157, threads=1, width=10000, height=10000, time=0.860215
Eseguito con cores=158, threads=1, width=10000, height=10000, time=0.849484
Eseguito con cores=159, threads=1, width=10000, height=10000, time=0.854346
Eseguito con cores=160, threads=1, width=10000, height=10000, time=0.853146
Eseguito con cores=161, threads=1, width=10000, height=10000, time=0.849193
Eseguito con cores=162, threads=1, width=10000, height=10000, time=0.846203
Eseguito con cores=163, threads=1, width=10000, height=10000, time=0.829665
Eseguito con cores=164, threads=1, width=10000, height=10000, time=0.820898
Eseguito con cores=165, threads=1, width=10000, height=10000, time=0.833756
Eseguito con cores=166, threads=1, width=10000, height=10000, time=0.804571
